id,order_id,flag_id,f_comment,user_id,created_at,updated_at
805420,1675723,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:56,2019-04-24 06:23:56
805421,1675754,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:57,2019-04-24 06:23:57
805422,1675873,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:57,2019-04-24 06:23:57
805423,1675948,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:58,2019-04-24 06:23:58
805424,1678729,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:58,2019-04-24 06:23:58
805425,1679961,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:59,2019-04-24 06:23:59
805426,1680477,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:59,2019-04-24 06:23:59
805427,1680750,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:23:59,2019-04-24 06:23:59
805451,1645465,8,"",1072029,2019-04-24 11:58:32,2019-04-24 11:58:32
805496,1659510,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:12,2019-04-24 06:38:12
805497,1659524,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:13,2019-04-24 06:38:13
805499,1659760,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:14,2019-04-24 06:38:14
805500,1659863,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:14,2019-04-24 06:38:14
805501,1659927,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:14,2019-04-24 06:38:14
805502,1660096,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:15,2019-04-24 06:38:15
805503,1660253,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:15,2019-04-24 06:38:15
805504,1660274,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:16,2019-04-24 06:38:16
805506,1660397,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:17,2019-04-24 06:38:17
805507,1660473,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:17,2019-04-24 06:38:17
805508,1660479,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:18,2019-04-24 06:38:18
805509,1660505,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:18,2019-04-24 06:38:18
805510,1660506,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:18,2019-04-24 06:38:18
805512,1660636,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:19,2019-04-24 06:38:19
805513,1660741,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:20,2019-04-24 06:38:20
805514,1660811,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:20,2019-04-24 06:38:20
805515,1660891,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:21,2019-04-24 06:38:21
805516,1660898,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:21,2019-04-24 06:38:21
805517,1660951,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:22,2019-04-24 06:38:22
805518,1661153,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:22,2019-04-24 06:38:22
805519,1661205,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:22,2019-04-24 06:38:22
805520,1661323,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:23,2019-04-24 06:38:23
805521,1661344,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:23,2019-04-24 06:38:23
805523,1661436,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:24,2019-04-24 06:38:24
805524,1661499,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:25,2019-04-24 06:38:25
805525,1661501,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:25,2019-04-24 06:38:25
805526,1661510,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:25,2019-04-24 06:38:25
805527,1661592,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:26,2019-04-24 06:38:26
805528,1661671,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:26,2019-04-24 06:38:26
805530,1661907,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:27,2019-04-24 06:38:27
805531,1661956,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:28,2019-04-24 06:38:28
805532,1662129,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:28,2019-04-24 06:38:28
805533,1662153,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:29,2019-04-24 06:38:29
805534,1662238,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:29,2019-04-24 06:38:29
805535,1662249,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:29,2019-04-24 06:38:29
805536,1662278,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:30,2019-04-24 06:38:30
805537,1662381,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:30,2019-04-24 06:38:30
805538,1662439,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:31,2019-04-24 06:38:31
805539,1662459,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:31,2019-04-24 06:38:31
805540,1662473,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:32,2019-04-24 06:38:32
805541,1662479,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:32,2019-04-24 06:38:32
805542,1662629,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:33,2019-04-24 06:38:33
805543,1662647,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:33,2019-04-24 06:38:33
805544,1663047,8,"Refunded Successfully[Bulk] : full in points
",621266,2019-04-24 06:38:33,2019-04-24 06:38:33
805549,1655511,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:43,2019-04-24 06:39:43
805550,1655542,8,"Refunded Successfully[Bulk] : 
",621266,2019-04-24 06:39:43,2019-04-24 06:39:43
